,classes,X_UMAP,Y_UMAP
138,basophil,5.345792,4.3616176
139,basophil,8.353444,6.0713663
140,basophil,7.9018564,5.697838
141,basophil,9.185135,5.649758
142,basophil,7.4223456,6.0063334
143,basophil,10.164176,7.199027
144,basophil,6.195094,5.563117
145,basophil,7.747412,5.041751
146,basophil,6.2380133,4.3951616
147,basophil,8.312163,6.337799
148,basophil,9.970879,6.940995
149,basophil,9.769204,6.380998
150,basophil,9.248291,6.399555
151,basophil,7.897709,4.730929
152,basophil,5.952186,4.006114
153,basophil,8.870251,5.565795
154,basophil,10.269595,7.1560183
155,basophil,7.146545,4.7208157
156,basophil,8.552472,5.2407055
157,basophil,9.835201,6.941992
158,basophil,5.797968,4.1200786
159,basophil,6.329535,4.167064
160,basophil,9.406963,6.204745
161,basophil,7.8388095,4.7558007
162,basophil,7.926393,4.6445594
163,basophil,9.122406,6.3306117
164,basophil,8.712648,6.3942075
165,basophil,8.875256,5.618116
166,basophil,8.877555,6.44109
167,basophil,8.041484,4.681461
168,basophil,6.130986,4.061875
169,basophil,9.82392,6.6956306
170,basophil,9.390653,5.824069
171,basophil,5.5963893,4.025337
172,basophil,9.309489,7.347084
173,basophil,9.76005,7.616528
174,basophil,8.216298,4.6051717
175,basophil,8.5294,5.8495474
176,basophil,8.9628935,7.3324885
177,basophil,7.223214,4.644555
178,basophil,5.958766,4.192988
179,basophil,7.6011753,4.4197183
180,basophil,7.750406,5.0971274
181,basophil,6.7070026,4.690812
182,basophil,8.81836,7.0106378
183,basophil,8.878971,6.2512493
184,basophil,10.2067795,7.0960717
185,basophil,10.274645,7.5937943
186,basophil,8.371132,4.9460874
187,basophil,9.07387,5.4103956
188,basophil,6.964633,4.2926817
189,basophil,7.211001,4.750394
190,basophil,8.248652,5.682616
191,basophil,8.908733,6.6727076
192,basophil,8.731285,5.177844
193,basophil,9.812564,6.340951
194,basophil,7.8493304,5.5235815
195,basophil,8.126016,5.1270676
196,basophil,5.9441915,4.004906
197,basophil,7.5544252,4.5798774
198,basophil,6.121598,3.7871294
199,basophil,7.1259027,4.727896
200,basophil,7.0795083,4.9765453
201,basophil,8.038375,5.3554454
202,basophil,8.700108,6.8481493
203,basophil,9.041057,7.169189
204,basophil,7.823234,4.446749
205,basophil,6.17251,3.8303256
206,basophil,9.642942,7.3088646
207,basophil,9.338363,6.1085563
208,basophil,8.728492,5.987861
209,basophil,7.870878,5.0344644
210,basophil,8.826342,6.1137733
211,basophil,9.021035,5.384316
212,basophil,7.1357822,4.301267
213,basophil,9.317404,7.5149536
214,basophil,7.4515243,4.6082277
215,basophil,7.7857647,4.7391696
216,basophil,5.728585,4.408474
217,basophil,8.881689,7.73903
218,basophil,9.031138,7.3434563
219,basophil,10.133823,7.1832657
220,basophil,7.1443486,5.044571
221,basophil,10.360898,7.524531
222,basophil,9.838878,7.425651
223,basophil,8.77505,6.302413
224,basophil,8.744744,5.6148987
225,basophil,9.428477,6.2378035
226,basophil,8.708806,5.750642
227,basophil,9.156039,5.716136
228,basophil,6.031572,3.8579216
229,basophil,7.9869266,5.7769976
230,basophil,9.049961,7.3690195
231,basophil,6.005772,3.994843
232,basophil,8.424024,5.0114665
233,basophil,8.4516735,4.9208026
234,basophil,7.5902543,4.6107345
235,basophil,8.51189,6.0013556
236,basophil,9.96247,7.0815845
237,basophil,8.143707,5.2560587
238,basophil,8.071389,4.672254
239,basophil,10.208111,7.1943235
240,basophil,8.033866,5.1066427
241,basophil,10.504437,7.6893415
242,basophil,8.062919,4.6358356
243,basophil,8.822228,5.6573477
244,basophil,6.3855,4.13812
245,basophil,8.789787,7.0276384
246,basophil,9.249244,5.6369357
247,basophil,9.256112,5.836179
248,basophil,6.7765756,4.288131
249,basophil,9.055061,7.071732
250,basophil,8.181543,5.0000534
251,basophil,9.312312,5.9213037
252,basophil,8.844603,6.9644356
253,basophil,7.9566507,5.377357
254,basophil,8.878847,6.31312
255,basophil,9.1682625,6.342082
256,basophil,8.822326,5.665151
257,basophil,8.6336775,6.948423
258,basophil,8.695473,5.563023
259,basophil,7.9259253,4.79544
260,basophil,9.466958,6.131628
261,basophil,8.917014,6.649711
262,basophil,10.204331,7.1035304
263,basophil,8.404451,5.8284917
264,basophil,9.685222,6.6594615
265,basophil,9.029155,6.1732287
266,basophil,7.965828,4.601206
267,basophil,9.691852,7.786133
268,basophil,7.6931896,4.6499767
269,basophil,9.918479,7.148121
270,basophil,9.133257,6.983712
271,basophil,6.490367,4.2173266
272,basophil,9.392779,5.9461007
273,basophil,8.287015,5.025851
274,basophil,9.319442,5.6234937
275,basophil,8.946183,7.448017
276,basophil,6.0192523,4.582456
277,basophil,9.17342,5.4669294
278,basophil,10.214068,7.4939666
279,basophil,8.913444,7.4454565
280,basophil,9.299721,5.6895804
281,basophil,8.592061,5.5261507
282,basophil,8.801309,6.09911
283,basophil,6.917727,4.3625693
284,basophil,9.598722,6.619768
285,basophil,9.12709,6.428275
286,basophil,8.320338,7.251221
287,basophil,8.834183,5.9413424
288,basophil,9.240891,5.484299
289,basophil,8.11306,5.155272
290,basophil,8.827206,6.726503
291,basophil,5.9739914,3.8677576
292,basophil,7.8380694,4.5278597
293,basophil,10.337627,7.864923
294,basophil,8.342387,4.832818
295,basophil,8.981203,5.4557023
296,basophil,8.570689,4.9327083
297,basophil,9.553829,6.987233
298,basophil,10.1707945,7.1329284
299,basophil,8.147325,5.19264
300,basophil,9.578232,5.8360257
301,basophil,9.089082,7.619198
302,basophil,8.307418,4.7563276
303,basophil,8.332788,4.879541
304,basophil,9.459511,6.517927
305,basophil,8.571634,5.306516
306,basophil,6.905614,6.363654
307,basophil,8.881012,6.208052
308,basophil,9.1098,5.2652926
309,basophil,8.206674,5.217546
310,basophil,8.878269,5.849047
311,basophil,8.554975,6.5183635
312,basophil,8.044036,4.629104
313,basophil,6.354657,4.44029
314,basophil,8.617974,5.4097304
315,basophil,6.235054,4.315658
316,basophil,8.705676,5.786655
317,basophil,9.071873,7.001784
318,basophil,8.484584,6.4575133
319,basophil,10.239125,6.939808
320,basophil,9.185217,5.6938186
321,basophil,8.281723,4.79221
322,basophil,7.9674625,6.638754
323,basophil,8.714691,5.3426194
324,basophil,9.065726,5.434375
325,basophil,5.989081,5.4014
326,basophil,7.616129,5.6596
327,basophil,8.391403,4.966915
328,basophil,9.871408,6.470293
329,basophil,10.207484,7.1299443
330,basophil,9.076963,7.3580256
331,basophil,8.948701,5.6223626
332,basophil,6.855966,4.525501
333,basophil,8.783251,5.341566
334,basophil,9.032363,5.806821
335,basophil,9.156234,5.673665
336,basophil,9.764561,6.567329
337,basophil,10.121211,7.2221155
338,basophil,8.933549,5.880265
339,basophil,8.115585,4.8391023
340,basophil,9.527684,6.5489697
341,basophil,8.671527,6.858414
342,basophil,8.164005,4.9134355
343,basophil,8.304427,5.181401
344,basophil,9.285514,5.983347
345,basophil,7.1237154,4.703996
346,basophil,8.720491,6.085736
347,basophil,8.901517,6.167709
348,basophil,8.594128,5.076527
349,basophil,10.390683,7.536899
350,basophil,8.948719,6.403264
351,basophil,10.247424,7.2125063
352,basophil,9.394873,5.734179
353,basophil,8.374781,5.350156
354,basophil,7.634314,4.559222
355,basophil,8.030457,4.78174
356,basophil,7.130609,6.4057174
357,basophil,9.160719,5.6913414
358,basophil,8.571673,5.5609193
359,basophil,9.872668,6.9906883
360,basophil,9.226828,5.774223
361,basophil,7.812136,6.41459
362,basophil,9.031388,5.7328773
363,basophil,9.77763,6.834608
364,basophil,8.609523,5.9274006
365,basophil,9.010254,5.3749356
366,basophil,5.8787184,3.9589443
367,basophil,7.0177054,5.252778
368,basophil,7.8858643,4.9021115
369,basophil,8.937279,5.4049926
370,basophil,7.936496,4.461636
371,basophil,9.165855,5.5172124
372,basophil,8.494328,5.6326237
373,basophil,5.9131165,4.1647635
374,basophil,6.551894,4.26648
375,basophil,7.5448027,4.6467233
376,basophil,10.387553,7.693494
377,basophil,9.006401,5.462985
378,basophil,9.08254,5.605724
379,basophil,8.663285,5.4461703
380,basophil,8.546417,6.6095366
381,basophil,7.478389,5.384572
382,basophil,7.9823365,5.0434914
383,basophil,8.648834,5.8263245
384,basophil,7.909997,4.626202
385,basophil,8.447985,6.7327504
386,basophil,8.249284,5.263161
387,basophil,7.826081,4.6438375
388,basophil,6.042389,4.158258
389,basophil,8.764084,5.198683
390,basophil,8.98904,5.5442615
391,basophil,8.681034,6.5616107
392,basophil,8.795611,6.013462
393,basophil,7.936061,4.9372325
394,basophil,9.020619,6.0822854
395,basophil,8.232632,4.741225
396,basophil,8.400141,5.3064194
397,basophil,8.756183,5.598305
398,basophil,8.268315,4.906294
399,basophil,8.687979,6.7813215
400,basophil,10.200794,7.210119
401,basophil,8.0908,5.1310377
402,basophil,7.765122,5.5139823
403,basophil,8.9491005,6.2821155
404,basophil,8.255008,5.514525
405,basophil,7.8337774,4.5096416
406,basophil,10.19793,7.1719017
407,basophil,9.317566,5.6884756
408,basophil,10.170221,7.1901007
409,basophil,8.892178,5.530016
410,basophil,10.116215,6.8660913
411,basophil,9.106913,7.4972215
412,basophil,8.995518,7.0763726
413,basophil,8.332765,5.1546006
414,basophil,7.010029,4.398921
415,basophil,8.999508,5.9849305
416,basophil,8.571818,5.875652
417,basophil,8.632989,5.2059546
418,basophil,8.048648,5.787157
419,basophil,5.4304595,4.845432
420,basophil,7.8764825,4.5559363
421,basophil,8.8977585,6.1769047
422,basophil,10.105923,7.3008637
423,basophil,8.990228,6.5936313
424,basophil,7.742157,6.205589
425,basophil,10.114626,7.221699
426,basophil,9.586655,6.3435755
427,basophil,9.687492,6.798662
428,basophil,7.640972,4.915861
429,basophil,8.372736,6.036364
430,basophil,6.1962605,4.491396
431,basophil,10.281919,7.2428827
432,basophil,8.398846,4.9902387
433,basophil,8.854514,5.325202
434,basophil,9.654948,6.096851
435,basophil,8.877699,6.452966
436,basophil,8.86565,5.4208994
437,basophil,7.6913385,5.043458
438,basophil,6.130211,3.8746119
439,basophil,8.758488,6.568572
440,basophil,6.183759,4.4679275
441,basophil,8.205791,5.0464797
442,basophil,9.321595,7.1684847
443,basophil,7.882667,4.964314
444,basophil,6.318576,4.4095883
445,basophil,6.0455823,4.031241
446,basophil,8.843881,5.815604
447,basophil,8.720565,6.757522
448,basophil,10.157695,7.1094594
449,basophil,8.347891,5.275206
450,basophil,10.25188,7.1282387
451,basophil,8.728992,5.2101874
452,basophil,9.04371,7.579543
453,basophil,7.7635493,4.8780737
454,basophil,7.2258,4.9502306
455,basophil,8.5750265,5.5563426
456,basophil,8.925354,5.431777
457,basophil,8.740774,5.750084
458,basophil,8.929229,5.6236987
459,basophil,6.5519757,4.5804033
460,basophil,8.378733,5.8149295
461,basophil,9.248631,5.4851823
462,basophil,9.095657,6.2549257
463,basophil,8.234499,5.3476515
464,basophil,5.5898767,3.9019828
465,basophil,7.8511114,5.1433635
466,basophil,8.838704,5.5838113
467,basophil,6.346224,4.249755
468,basophil,10.396792,7.2833624
469,basophil,8.659671,6.837124
470,basophil,9.497719,6.4928403
471,basophil,8.486738,5.439909
472,basophil,9.135759,7.0825973
473,basophil,8.943196,7.384335
474,basophil,8.508624,5.219217
475,basophil,8.6519985,5.1117263
476,basophil,7.8754287,4.882592
477,basophil,8.4480715,5.576501
478,basophil,9.577266,6.517232
479,basophil,9.169391,6.1078415
480,basophil,10.05205,6.7372713
481,basophil,9.148474,5.4722233
482,basophil,8.939389,7.019352
483,basophil,7.356912,4.8543215
484,basophil,8.941664,5.7140336
485,basophil,8.837861,5.388389
486,basophil,7.4677687,4.7324924
487,basophil,8.845223,5.3318486
488,basophil,6.508897,4.3536716
489,basophil,10.356697,7.3825974
490,basophil,7.741392,4.978982
491,basophil,8.177031,4.956106
492,basophil,9.403046,6.6235147
493,basophil,9.433768,5.9294047
494,basophil,9.072395,5.4039426
495,basophil,8.243757,5.5657883
496,basophil,8.861165,5.6310086
497,basophil,9.430018,5.752519
498,basophil,8.0069685,5.509955
499,basophil,8.075745,4.6248183
500,basophil,8.776364,5.5963182
501,basophil,8.319675,5.131137
502,basophil,9.032254,5.262982
503,basophil,8.946969,7.4678454
504,basophil,8.4557495,5.537961
505,basophil,6.1719832,4.123169
506,basophil,8.31971,4.8642406
507,basophil,7.6693835,4.7731795
508,basophil,9.24227,5.618753
509,basophil,8.09283,5.0919394
510,basophil,9.717629,7.0946703
511,basophil,9.152341,5.5552745
512,basophil,7.4012547,4.7444434
513,basophil,8.697102,5.406738
514,basophil,9.504533,6.575919
515,basophil,8.23065,4.7690268
516,basophil,8.866656,5.7078867
517,basophil,8.807464,6.868505
518,basophil,5.110005,4.73559
519,basophil,7.1771917,4.507801
520,basophil,8.416812,5.8382106
521,basophil,9.050393,5.9902043
522,basophil,5.336107,4.7788806
523,basophil,9.590708,6.6876926
524,basophil,9.340682,5.877389
525,basophil,10.212544,7.088679
526,basophil,6.9838004,4.5474167
527,basophil,6.192847,4.234643
528,basophil,9.91728,7.2787848
529,basophil,9.498764,5.934707
530,basophil,7.805941,4.7389965
531,basophil,10.130893,6.8420367
532,basophil,8.118271,4.762238
533,basophil,9.185292,6.263539
534,basophil,9.214583,7.0908017
535,basophil,9.04407,6.323009
536,basophil,9.11833,6.4067025
537,basophil,9.3870945,6.290828
538,basophil,7.7212267,4.7474995
539,basophil,8.279373,4.8038425
540,basophil,8.9886055,6.114629
541,basophil,8.036578,5.1010513
542,basophil,6.445766,4.702665
543,basophil,9.158279,5.6596937
544,basophil,7.902803,5.677948
545,basophil,8.583846,5.1773853
546,basophil,9.086892,5.424825
547,basophil,8.522815,5.258936
548,basophil,9.072185,5.959046
549,basophil,8.557807,5.1101527
550,basophil,9.120447,5.5672164
551,basophil,9.279402,5.5828204
552,basophil,9.033482,5.579618
553,basophil,8.779574,5.241432
554,basophil,10.272625,7.777288
555,basophil,7.784285,4.5900564
556,basophil,9.577364,6.366482
557,basophil,7.7112503,4.805776
558,basophil,9.70326,7.7134366
559,basophil,8.903777,6.10649
560,basophil,7.535502,4.4322014
561,basophil,9.339157,7.7344017
562,basophil,8.925632,6.528857
563,basophil,8.515786,5.710146
564,basophil,9.783131,7.1954985
565,basophil,9.936434,6.849633
566,basophil,7.776694,4.950292
567,basophil,8.077446,5.03986
568,basophil,8.6432085,6.5942645
569,basophil,10.271193,7.030531
570,basophil,9.899681,6.5319796
571,basophil,7.702765,4.68869
572,basophil,8.148248,4.648862
573,basophil,7.691493,4.7592707
574,basophil,7.668423,4.7720857
575,basophil,7.7286725,4.5794806
576,basophil,7.312321,5.5573716
577,basophil,6.027503,3.8236732
578,basophil,10.191338,7.4349046
579,basophil,8.426825,5.3898015
580,basophil,8.653349,5.1257844
581,basophil,8.794582,5.4551883
582,basophil,8.255676,5.102869
583,basophil,8.912367,5.5282254
584,basophil,10.0419855,7.2478848
585,basophil,6.906843,4.417202
586,basophil,7.9283643,4.5774136
587,basophil,9.755544,6.557005
588,basophil,9.311728,6.7306633
589,basophil,8.719481,5.692427
590,basophil,9.488195,6.640878
591,basophil,8.446328,4.9798837
592,basophil,7.0687685,4.9671593
593,basophil,10.012411,7.11335
594,basophil,9.8322935,7.0974903
595,basophil,10.25702,7.3597813
596,basophil,8.038795,5.856487
597,basophil,8.8083105,5.975702
598,basophil,7.7211328,4.792023
599,basophil,8.211548,5.7745533
600,basophil,7.967215,4.6056886
601,basophil,9.2176895,5.695373
602,basophil,9.63995,6.2621164
603,basophil,9.78656,6.9151974
604,basophil,9.068052,5.6162605
605,basophil,6.652025,4.433074
606,basophil,9.011833,5.6429996
607,basophil,5.8541074,4.870709
608,basophil,9.284983,5.690334
609,basophil,10.047012,7.129445
610,basophil,8.45731,5.433442
611,basophil,8.793131,5.5011067
612,basophil,7.8307,4.8026967
613,basophil,8.999875,5.734257
614,basophil,10.037539,7.065478
615,basophil,9.301918,6.1166587
616,basophil,7.5803847,4.4440775
617,basophil,9.229604,5.7814355
618,basophil,6.196413,3.8995347
619,basophil,8.702755,5.3612976
620,basophil,9.425637,6.6858315
621,basophil,8.316396,4.8718495
622,basophil,6.003788,4.038145
623,basophil,10.148426,7.014704
624,basophil,7.5332193,4.7648373
625,basophil,9.159564,6.3603277
626,basophil,5.5968256,4.1376576
627,basophil,8.792367,5.532619
628,basophil,9.048808,6.326127
629,basophil,10.545652,7.807794
630,basophil,7.793418,4.7340283
631,basophil,8.537509,5.9225025
632,basophil,8.495865,5.298958
633,basophil,9.636623,7.470779
634,basophil,9.047834,5.634331
635,basophil,10.176842,7.3458757
636,basophil,8.209657,4.78792
637,basophil,7.3628063,5.0841203
638,basophil,9.372064,6.1173277
639,basophil,6.21021,4.380446
640,basophil,9.262819,6.439256
641,basophil,9.053267,6.6818824
642,basophil,7.71751,4.614016
643,basophil,8.725353,6.7404904
644,basophil,9.221085,6.0483837
645,basophil,8.8148,5.427222
646,basophil,9.370136,6.3385944
647,basophil,8.67124,5.4932814
648,basophil,6.5669146,4.1975193
649,basophil,8.724248,5.1890535
650,basophil,10.304164,7.0703664
651,basophil,6.257547,4.2054706
652,basophil,8.905972,5.544168
653,basophil,8.317724,5.912373
654,basophil,8.364529,5.76118
655,basophil,7.9150167,5.632384
656,basophil,10.22374,6.9789433
657,basophil,8.542137,6.0951223
658,basophil,8.532904,5.415731
659,basophil,7.259252,4.7561507
660,basophil,10.013204,7.0774994
661,basophil,8.398668,4.990976
662,basophil,8.779966,6.992905
663,basophil,10.489221,7.73405
664,basophil,8.548561,5.408741
665,basophil,7.8109984,4.5977616
666,basophil,6.818912,5.011577
667,basophil,8.475581,6.780593
668,basophil,9.198342,6.458473
669,basophil,8.687407,6.8859873
670,basophil,6.510764,4.339536
671,basophil,8.420875,5.6493187
672,basophil,8.250809,5.684245
673,basophil,8.806231,5.4881787
674,basophil,5.9557343,4.1253176
675,basophil,8.823353,5.1912093
676,basophil,9.159193,6.1554723
677,basophil,8.567737,5.946515
678,basophil,8.709404,6.709164
679,basophil,10.104652,7.3255234
680,basophil,8.913388,5.363679
681,basophil,8.509729,5.7374516
682,basophil,8.766274,5.4551926
683,basophil,7.76107,4.7828174
684,basophil,8.081634,4.790325
685,basophil,8.959793,5.553969
686,basophil,6.4249372,4.5134025
687,basophil,9.860553,7.3074036
688,basophil,9.541072,7.476668
689,basophil,8.468186,5.4351506
690,basophil,9.987166,7.2447996
691,basophil,8.907653,6.628336
692,basophil,6.0748396,4.064963
693,basophil,9.158957,7.8611674
694,basophil,6.6934767,4.1289
695,basophil,6.7539053,4.568808
696,basophil,5.9255643,3.8752494
697,basophil,8.865654,7.114305
698,basophil,9.076729,6.2090626
699,basophil,7.9050174,4.692998
700,basophil,6.5983973,4.1610928
701,basophil,10.325526,7.383032
702,basophil,7.230885,4.450503
703,basophil,8.05732,4.685033
704,basophil,8.996706,5.339163
705,basophil,7.3123612,5.206674
706,basophil,10.069581,6.989546
707,basophil,6.128275,4.2971544
708,basophil,7.9620533,4.8198404
709,basophil,7.448195,4.470575
710,basophil,8.027724,4.6527796
711,basophil,7.2849317,4.7812343
712,basophil,9.203002,5.6268544
713,basophil,10.222208,7.087013
714,basophil,10.065081,7.0675783
715,basophil,7.334371,4.665646
716,basophil,9.909545,6.944196
717,basophil,10.066335,6.5443797
718,basophil,8.164435,4.892148
719,basophil,6.3534226,4.575382
720,basophil,10.065486,7.084587
721,basophil,9.694032,6.1598487
722,basophil,8.639725,5.3077245
723,basophil,7.9685454,5.0265884
724,basophil,9.274315,5.613109
725,basophil,7.7951474,4.800765
726,basophil,7.748736,5.59737
727,basophil,6.347918,4.1434135
728,basophil,7.2927604,4.3742733
729,basophil,8.769566,6.437615
730,basophil,8.861559,5.7232356
731,basophil,6.483066,4.108937
732,basophil,7.657115,4.701541
733,basophil,8.991512,6.361929
734,basophil,5.9797554,4.3119454
735,basophil,9.100301,6.456686
736,basophil,10.158636,7.091552
737,basophil,8.823173,5.31592
738,basophil,8.590902,6.7163806
739,basophil,10.33697,7.3895583
740,basophil,7.529421,4.440921
741,basophil,8.098135,4.998363
742,basophil,8.804001,6.202005
743,basophil,6.075427,4.0270147
744,basophil,8.96372,6.171913
745,basophil,8.144282,4.972962
746,basophil,7.9229474,4.7301903
747,basophil,10.14706,7.3687887
748,basophil,7.5119867,4.865529
749,basophil,9.214221,6.485222
750,basophil,9.183618,7.416269
751,basophil,10.055609,7.1320853
752,basophil,9.528566,7.577008
753,basophil,5.9971166,4.146804
754,basophil,7.7137485,4.810816
755,basophil,9.147873,5.41393
756,basophil,9.106729,5.949335
757,basophil,9.359246,7.3389926
758,basophil,8.026336,5.296219
759,basophil,6.0830026,4.4231176
760,basophil,10.067868,7.2793884
761,basophil,10.106459,7.2999463
762,basophil,8.851604,7.106932
763,basophil,9.111304,5.513573
764,basophil,6.2562857,4.1717296
765,basophil,9.035599,6.4906673
766,basophil,10.234688,7.3797765
767,basophil,10.445052,7.2895327
768,basophil,6.224582,4.2186284
769,basophil,8.511873,5.1517754
770,basophil,9.036952,5.771704
771,basophil,6.66522,4.2860074
772,basophil,9.49306,6.082608
773,basophil,9.054403,5.521417
774,basophil,9.307166,6.576737
775,basophil,8.72766,6.882933
776,basophil,10.419236,7.633718
777,basophil,9.059427,6.5462704
778,basophil,6.942245,4.498763
779,basophil,8.782093,6.2849755
780,basophil,7.661278,4.5875726
781,basophil,9.656039,6.272827
782,basophil,6.1395197,3.9588056
783,basophil,10.541744,7.41024
784,basophil,8.911996,6.2123804
785,basophil,8.413832,6.2546115
786,basophil,6.274761,4.2211647
787,basophil,9.107132,5.9080114
788,basophil,8.766477,5.7509394
789,basophil,9.149015,6.5783362
790,basophil,9.910855,7.2187295
791,basophil,9.003168,5.640517
792,basophil,8.391643,5.76002
793,basophil,8.081634,4.885684
794,basophil,10.453738,7.517415
795,basophil,8.041472,5.326532
796,basophil,8.6345215,5.687325
797,basophil,6.666247,4.5647144
798,basophil,10.206347,7.0983214
799,basophil,9.179887,5.6113715
800,basophil,9.215949,6.831718
801,basophil,4.9755926,4.674611
802,basophil,9.5162325,6.9693046
803,basophil,5.3715487,3.8157063
804,basophil,8.180562,4.778526
805,basophil,8.779677,6.054755
806,basophil,8.105835,4.8380117
807,basophil,9.906242,7.1687317
808,basophil,8.481595,4.7786727
809,basophil,7.2828116,4.5519238
810,basophil,8.5224905,6.746168
811,basophil,9.4228945,5.8609223
812,basophil,8.675537,5.2581854
813,basophil,6.2404785,4.1958365
814,basophil,7.3133307,4.57149
815,basophil,10.209941,7.0786023
816,basophil,7.8884068,5.136259
817,basophil,7.6303945,4.4728336
818,basophil,8.696513,6.829259
819,basophil,6.713782,4.594583
820,basophil,9.480852,6.3307834
821,basophil,10.140288,7.0130596
822,basophil,8.177806,5.0457315
823,basophil,9.001873,5.6119194
824,basophil,8.328673,5.385783
825,basophil,6.3765044,4.273975
826,basophil,8.970041,6.1634426
827,basophil,7.7830634,5.525051
828,basophil,10.146015,7.145779
829,basophil,8.815161,6.092191
830,basophil,8.464296,4.773624
831,basophil,5.913359,4.6065974
832,basophil,8.896592,6.18554
833,basophil,7.8985906,4.6222544
834,basophil,9.202855,5.9127812
835,basophil,10.116984,7.531499
836,basophil,9.581285,6.813336
