,classes,X_UMAP,Y_UMAP,Z_UMAP
814,basophil,1.1403601,6.6575994,8.164021
1177,basophil,3.9889176,6.559734,8.607848
878,basophil,2.9938085,6.263826,8.23183
395,basophil,1.1433892,6.4959598,8.125376
587,basophil,0.01698783,5.2644973,9.609123
595,basophil,-0.0057968344,6.229543,9.21185
644,basophil,0.77324736,6.3253765,9.756245
967,basophil,2.567668,6.925719,8.532947
754,basophil,2.400226,6.842366,8.103069
657,basophil,0.48910344,6.313329,9.039011
333,basophil,0.4362363,5.574151,8.80559
1095,basophil,0.8485946,5.3629804,8.66249
896,basophil,1.707387,6.7920737,8.160758
111,basophil,0.5546613,6.3837476,10.345173
914,basophil,0.70048517,5.51981,8.835949
973,basophil,1.8886861,6.432715,9.89717
268,basophil,2.2872424,7.104342,7.899355
789,basophil,0.2123163,6.553186,9.525875
452,basophil,0.69637454,6.4780326,10.022077
755,basophil,0.82724375,5.9233127,8.31265
540,basophil,0.2739102,6.3631825,9.1052065
270,basophil,0.17060432,5.104609,10.570926
50,basophil,1.3634526,6.109824,8.222746
212,basophil,2.4621863,7.0987463,7.747086
748,basophil,2.0511563,6.778724,7.9221582
1073,basophil,0.8790266,5.858945,8.536199
1038,basophil,1.0668455,5.6113915,9.196405
124,basophil,2.04426,6.7032967,8.097282
982,basophil,0.90497637,6.398891,8.485517
39,basophil,3.5179055,6.396795,8.865254
681,basophil,1.7240818,6.4522777,8.13165
3476,eosinophil,0.36213645,6.5064893,9.415628
1322,eosinophil,0.686455,6.3401933,8.624566
2327,eosinophil,0.12338292,5.869339,10.17306
3786,eosinophil,0.16643086,5.634916,10.932566
3258,eosinophil,0.6047427,5.8676677,8.7606325
2909,eosinophil,0.9077599,5.5742264,9.700588
1958,eosinophil,0.81673884,6.7998815,8.663928
2504,eosinophil,0.9190221,6.4768066,8.128427
1496,eosinophil,1.6650376,6.0254383,8.364025
2839,eosinophil,1.3950481,6.8189983,8.669837
3245,eosinophil,0.21664745,4.945072,9.547118
1950,eosinophil,1.0605245,6.193168,9.882223
1736,eosinophil,0.33572352,4.9931326,10.404741
3154,eosinophil,1.2896866,5.9914594,9.192398
3656,eosinophil,0.8743134,5.3239946,9.596692
2612,eosinophil,0.5589951,6.2686853,9.155192
4182,eosinophil,4.3243513,8.948054,6.9749374
1995,eosinophil,1.3869709,6.8069577,10.162405
3534,eosinophil,0.44211546,4.9322066,9.808849
3839,eosinophil,-0.013549326,5.390889,10.942689
2133,eosinophil,1.0400459,5.8347616,8.527101
1628,eosinophil,0.096295305,5.8383493,9.250316
2953,eosinophil,1.5933243,7.318444,8.534484
3558,eosinophil,0.5300397,5.935816,9.014076
4207,eosinophil,1.7853168,7.6362004,9.072371
1619,eosinophil,1.2694161,5.506455,9.30256
4092,eosinophil,1.9181497,7.3189993,8.352406
2567,eosinophil,1.3354597,6.455329,8.222279
3697,eosinophil,1.2215115,6.596001,8.388894
3960,eosinophil,1.215359,5.5249968,9.0661745
2016,eosinophil,0.9733247,5.6203246,8.907965
1814,eosinophil,0.43581998,6.348915,8.550096
1301,eosinophil,0.6673764,5.3570185,9.48971
2576,eosinophil,2.6814857,6.393774,8.726953
3066,eosinophil,1.3152546,7.0400214,9.259278
4107,eosinophil,-0.45342034,5.6627893,10.397056
3204,eosinophil,3.2652538,8.506116,7.814022
4269,eosinophil,0.83946174,6.481715,9.960736
3323,eosinophil,-0.033411015,5.577459,8.991481
2195,eosinophil,0.40249705,5.5045333,9.7115135
2229,eosinophil,1.0997778,5.8895636,9.129232
2342,eosinophil,1.5151886,7.005241,8.909367
2088,eosinophil,1.0671295,6.11015,9.33935
3350,eosinophil,0.6797354,5.215816,9.099782
3878,eosinophil,-0.52654415,5.455813,10.357272
1833,eosinophil,1.0358148,5.479916,9.652501
3973,eosinophil,2.6980128,6.2019024,8.185824
1759,eosinophil,1.1660873,5.67247,9.466688
1999,eosinophil,0.97613615,5.8601747,9.288828
4064,eosinophil,1.1095806,5.838419,9.350936
4223,eosinophil,1.137284,5.3969455,9.498533
3487,eosinophil,0.034322772,6.428701,9.905759
2168,eosinophil,0.17828305,5.366477,10.252335
4277,eosinophil,2.2165265,6.9759493,8.393188
1854,eosinophil,1.3093288,5.423351,9.094233
3562,eosinophil,1.9498941,6.27006,9.503065
4058,eosinophil,0.50610465,6.2913713,8.74204
4252,eosinophil,0.8328418,5.0673704,9.458695
3448,eosinophil,0.10452127,5.82577,9.180577
3640,eosinophil,0.19251578,5.9196153,8.706661
1514,eosinophil,2.0340703,7.2982574,8.124927
3539,eosinophil,0.32150638,5.7381763,9.361551
3107,eosinophil,0.55126023,6.1853523,8.838466
2641,eosinophil,0.999372,5.48883,8.974271
1817,eosinophil,0.41778186,6.0245337,8.765531
3713,eosinophil,0.7418589,6.3290806,9.831557
3719,eosinophil,0.7280578,5.1405735,9.470266
3355,eosinophil,3.2227113,8.174784,8.335057
1726,eosinophil,2.061129,7.6646705,8.904413
4083,eosinophil,0.8452782,6.075629,8.668096
3403,eosinophil,1.1213468,5.4282503,8.967603
2478,eosinophil,0.72813624,5.3860426,9.248655
1378,eosinophil,1.1782038,6.1902733,8.449271
3897,eosinophil,1.1835877,6.391686,10.134866
3370,eosinophil,1.9915934,7.1926455,8.919603
2322,eosinophil,0.94958144,6.4116096,9.746591
3928,eosinophil,0.8014044,5.6485434,9.515797
2424,eosinophil,0.63607013,6.187737,8.818171
3296,eosinophil,1.2136885,5.7277074,9.586576
1237,eosinophil,1.8964511,7.08553,8.541659
3210,eosinophil,1.1501099,5.7526145,8.849813
3021,eosinophil,0.8798748,6.2208643,9.363556
2023,eosinophil,-0.27082056,5.8227863,9.638604
3286,eosinophil,-0.022988012,6.1277137,9.667827
2820,eosinophil,1.2816902,5.9317055,8.729788
2711,eosinophil,0.41294667,6.1010036,9.389238
3083,eosinophil,-0.18072015,5.0051336,10.126787
3430,eosinophil,0.9218558,5.423341,9.078484
2526,eosinophil,0.02275582,5.7184854,8.896474
3364,eosinophil,2.4719343,6.3128896,8.420936
3531,eosinophil,0.772521,6.6958313,10.267024
2843,eosinophil,1.0481575,5.663976,9.161738
3259,eosinophil,0.5155143,6.0936446,8.847997
1352,eosinophil,0.953755,5.6534457,9.193578
1395,eosinophil,0.82425934,5.4127884,9.41575
2463,eosinophil,0.033004858,6.4559617,10.329614
3176,eosinophil,0.7866249,6.015527,9.476682
3475,eosinophil,1.1586455,5.865484,8.543166
4041,eosinophil,1.0513923,6.6684813,10.314206
2451,eosinophil,0.31933612,4.9360194,10.424634
5095,erythroblast,3.9983072,8.320812,7.921842
4355,erythroblast,4.2943707,8.674366,7.5859804
4357,erythroblast,4.399184,8.867706,6.731467
5175,erythroblast,0.15408035,6.1081004,9.03383
5119,erythroblast,4.1689024,9.060744,7.304372
5129,erythroblast,4.549429,9.256748,6.906156
5016,erythroblast,3.054762,8.175737,8.1994505
5099,erythroblast,3.9304738,8.276193,7.347898
5266,erythroblast,4.529811,8.021222,7.7874994
5327,erythroblast,4.149606,8.223264,7.5400176
4614,erythroblast,3.290061,6.007593,8.658788
5156,erythroblast,3.834066,8.014515,7.587278
5300,erythroblast,4.129924,8.923023,7.4273148
5868,erythroblast,2.716323,8.084001,8.0969715
5084,erythroblast,4.0414047,8.26389,7.686557
5063,erythroblast,4.2066417,8.575105,7.5315013
5461,erythroblast,3.9235702,6.6852946,8.833521
4423,erythroblast,2.4361367,7.582326,8.263078
4489,erythroblast,5.027493,9.516073,6.6756644
4552,erythroblast,3.6061351,7.857908,7.732017
5259,erythroblast,4.421267,8.558571,7.133347
5173,erythroblast,4.2293696,9.157689,7.279242
5308,erythroblast,4.128623,8.445898,7.6207814
4880,erythroblast,4.011131,7.603453,8.412908
5643,erythroblast,3.3065636,8.314599,7.92792
4684,erythroblast,0.76057005,6.506935,9.358493
4923,erythroblast,3.9781072,8.391728,7.467137
5285,erythroblast,2.3050005,6.60846,8.786225
4610,erythroblast,1.8208022,6.5314784,8.225055
5874,erythroblast,4.25506,8.726487,7.1942325
5516,erythroblast,3.1640174,7.6971,8.441217
5269,erythroblast,3.2775984,7.410825,7.9355464
4843,erythroblast,1.2632879,6.575064,8.052005
4926,erythroblast,4.418157,8.728434,7.2962284
5334,erythroblast,4.8304515,9.319082,6.702486
4970,erythroblast,3.8640616,9.034604,7.3240337
4850,erythroblast,1.1705675,6.246516,8.487244
4944,erythroblast,3.1919692,5.908003,8.605393
5343,erythroblast,3.3841255,7.97253,7.8354816
4819,erythroblast,4.4595838,8.750443,7.4180813
4387,erythroblast,3.890139,7.957782,7.7265577
5690,erythroblast,0.0028003282,5.5142817,10.516923
4875,erythroblast,4.5751896,8.818416,7.329429
5140,erythroblast,3.325798,7.537495,7.8287144
5463,erythroblast,4.152418,7.9915276,8.050648
5685,erythroblast,-0.4313898,5.3197865,9.324129
5673,erythroblast,4.628412,9.134349,7.0740685
5451,erythroblast,3.9694443,7.915999,8.054063
5679,erythroblast,5.05737,9.55693,6.829787
5619,erythroblast,2.9443896,8.085285,8.056602
5618,erythroblast,4.9051256,10.199835,6.0721445
4408,erythroblast,3.1811316,8.259867,8.00644
4585,erythroblast,2.01668,7.4582834,8.609664
5276,erythroblast,3.8066783,8.810371,7.4847064
5664,erythroblast,2.9978714,5.9703307,8.55586
5464,erythroblast,2.6015046,7.6687803,8.207477
4890,erythroblast,3.842614,6.5855045,8.772012
4861,erythroblast,4.6386147,8.754689,6.9156694
5250,erythroblast,3.965621,8.352037,7.4126835
4628,erythroblast,2.9353664,8.256819,7.916619
4784,erythroblast,4.1441956,8.52385,7.3696
5755,erythroblast,3.691461,7.820254,8.021395
5678,erythroblast,1.0355604,6.1611013,8.867405
4831,erythroblast,1.9956783,6.8158827,8.698093
5815,erythroblast,4.4750133,9.031451,7.2054
4648,erythroblast,4.8346457,9.182304,6.8119006
4343,erythroblast,4.273506,8.553399,7.301001
5789,erythroblast,4.323455,7.8715305,7.979317
5739,erythroblast,3.2205365,7.9968777,7.8864884
5321,erythroblast,4.467485,8.827274,7.1842422
5559,erythroblast,4.119729,6.929592,8.78474
5401,erythroblast,4.4758835,8.870535,7.371808
4627,erythroblast,3.7562573,8.331823,7.4894423
4438,erythroblast,4.7735353,9.581311,6.8863854
5056,erythroblast,4.1907206,7.675127,8.044456
4751,erythroblast,2.8539503,7.695957,8.060718
4673,erythroblast,3.5023339,6.320507,8.86846
4445,erythroblast,4.347729,8.209777,7.755496
5697,erythroblast,3.7647538,8.495458,7.8294587
4891,erythroblast,2.8122928,7.771686,8.291479
4471,erythroblast,4.839028,9.169978,6.8962164
5558,erythroblast,4.093431,8.06539,7.931476
4802,erythroblast,2.9482431,7.7279887,8.260186
5858,erythroblast,3.2869852,6.271556,8.63065
4454,erythroblast,4.1892033,8.452342,7.5953913
4935,erythroblast,2.8750718,7.59228,7.993828
4691,erythroblast,2.6432495,7.4209094,8.173553
5756,erythroblast,5.34187,9.7302,6.6225286
5219,erythroblast,4.7505655,9.670273,6.7736363
5514,erythroblast,4.8540173,9.851013,6.6439414
4877,erythroblast,5.203541,9.991268,6.6767735
4456,erythroblast,2.8653595,7.8521986,8.122263
4775,erythroblast,4.123268,8.521009,7.5678797
4491,erythroblast,4.4082336,8.783474,7.375272
4942,erythroblast,3.904155,7.725593,8.284447
4342,erythroblast,4.7742066,10.097404,6.4589605
4689,erythroblast,3.9960167,8.156775,7.606859
5045,erythroblast,4.371831,8.216485,7.677784
4335,erythroblast,4.4529114,8.637689,7.304064
4517,erythroblast,3.9882605,8.230152,7.6347528
8262,ig,0.14730169,6.1287956,10.756274
7021,ig,0.57142055,6.004574,9.127821
7779,ig,-0.4489569,5.65662,10.353785
6782,ig,1.4154226,7.5469623,8.582112
8120,ig,-0.5411182,5.0077343,10.295523
5926,ig,2.4372547,6.223137,8.221623
8318,ig,-0.5833837,5.4516525,10.245583
7736,ig,1.5859232,6.873006,8.570933
7041,ig,2.018857,6.851655,8.226209
6330,ig,0.72140723,6.1574163,9.919794
8298,ig,0.65841824,5.8599167,8.579638
6082,ig,2.1708043,7.694708,8.389708
5920,ig,0.96350515,6.711264,8.318548
6939,ig,1.523717,5.982559,8.591743
7661,ig,-0.1642811,5.230396,10.067004
8439,ig,-0.5390252,5.044088,10.261464
6677,ig,0.23548566,5.955219,9.623778
8232,ig,0.3276794,5.0325265,9.890112
8488,ig,-0.1639359,4.799431,10.299571
7163,ig,3.0945778,6.841738,8.146965
8420,ig,0.85306686,5.408079,8.592736
6706,ig,1.2875017,7.397296,8.511863
7791,ig,2.8182228,6.1854577,9.050694
6501,ig,1.5188961,6.46446,8.373024
6916,ig,3.3057868,6.887244,8.060733
8510,ig,-0.3772191,4.837354,10.204145
6638,ig,1.5507238,6.5296154,8.997498
8104,ig,0.48244703,5.6937714,9.891276
8468,ig,0.59872735,6.686419,9.608952
6111,ig,1.0828577,6.053091,8.445239
8000,ig,0.57916677,6.041991,10.041954
6080,ig,2.9097238,7.0531483,7.833093
6500,ig,2.189644,7.406217,8.481234
6468,ig,1.2289559,6.276227,9.927501
6201,ig,0.016824292,4.9461117,9.915287
8490,ig,-0.014473287,5.1109014,9.764756
6169,ig,0.75734633,6.250835,9.530528
8409,ig,-0.2177825,5.163905,9.336834
7575,ig,2.090373,6.206007,8.82164
7015,ig,1.1754382,6.7989464,10.112846
6606,ig,-0.01647415,5.0985,10.208505
7586,ig,2.725851,6.503797,8.62908
6258,ig,1.4027113,5.9119534,8.908526
6924,ig,2.9149728,8.06745,8.055822
8618,ig,-0.54714423,5.0969806,10.2597685
8163,ig,-0.2793685,5.988823,10.474316
6361,ig,2.8241742,6.9036307,7.9834943
6132,ig,2.3394158,6.708843,7.948817
7367,ig,0.12974147,6.142778,10.50959
7909,ig,-0.12053268,6.0025277,8.889423
8040,ig,-0.42853153,5.2660666,9.96968
7352,ig,2.715989,5.9814615,8.297918
6998,ig,0.82483953,6.0646577,10.357846
7642,ig,0.52272767,6.300606,8.638062
7357,ig,3.2625902,6.692844,8.719076
6365,ig,1.4673265,7.1647325,8.654743
6539,ig,0.009504943,6.0632477,9.4593115
7948,ig,1.1664773,6.3722115,8.972086
8443,ig,-0.22026195,5.4949937,9.53721
7650,ig,0.11326124,5.959883,9.397803
7551,ig,2.450546,6.5169334,8.487147
7494,ig,0.83889395,6.3416724,9.384831
8287,ig,-0.43264413,5.1443334,10.577679
8086,ig,0.07030593,5.2479186,10.824784
7884,ig,-0.2995614,5.4102793,9.354987
6779,ig,0.91867036,6.5013556,9.611867
8016,ig,1.3325014,5.6817255,9.300771
7719,ig,0.15392715,5.2568207,10.0652485
7832,ig,0.92003596,6.621448,8.927895
6664,ig,2.3814387,7.034677,7.9455028
7617,ig,0.8475719,6.5767727,9.386058
6482,ig,1.3294477,7.0615153,9.648809
6327,ig,0.06532718,5.586168,10.958473
7487,ig,0.4103021,5.6426516,9.307431
6428,ig,1.1277921,5.4013634,8.460696
6159,ig,0.69663835,5.4369535,9.1637125
7982,ig,2.0855145,6.4376254,8.353332
6177,ig,1.3548658,6.772303,8.778361
8530,ig,-0.26889586,5.172985,9.542519
6485,ig,1.697641,6.428751,8.46469
6703,ig,1.4722865,7.156322,9.032133
6822,ig,1.6651347,6.2315426,9.213714
8308,ig,-0.30095536,5.278458,9.8441515
8418,ig,0.24190302,6.2837152,10.21039
7608,ig,-0.11177237,5.8811383,9.080091
8389,ig,-0.60126954,5.237979,10.50324
8223,ig,-0.32718784,5.21993,9.510021
6187,ig,1.0201709,5.9593806,8.968396
7346,ig,1.9256433,5.888523,8.525644
6962,ig,2.1889524,6.556728,8.699859
8248,ig,-0.5019917,5.358743,9.686011
6036,ig,2.9109035,5.8932433,8.665606
6133,ig,1.5113697,6.458026,8.679298
6267,ig,2.075904,6.522584,9.925874
7989,ig,3.054291,8.034555,8.492984
6099,ig,1.7347276,6.764822,8.592242
6559,ig,1.4802752,6.8557496,9.549013
7099,ig,0.048053104,5.80944,10.820211
8334,ig,0.20362386,6.396699,9.434343
8352,ig,-0.61514413,5.385512,10.1579275
9160,lymphocyte,3.9612827,6.8231072,8.553746
9275,lymphocyte,3.8255963,7.117116,8.021391
8833,lymphocyte,4.0353827,6.670196,8.300198
9798,lymphocyte,3.4440813,6.2041225,8.586861
9462,lymphocyte,4.3234386,7.625435,8.031579
8925,lymphocyte,4.082641,7.5207653,8.277479
9330,lymphocyte,3.0158503,6.3543963,8.583018
9652,lymphocyte,3.7211199,6.986593,8.191749
9352,lymphocyte,3.3581653,6.4647694,8.785301
9064,lymphocyte,3.9296837,7.1308017,8.640716
8967,lymphocyte,3.6533606,6.874884,8.59401
8836,lymphocyte,4.0504665,7.0172696,8.67433
8813,lymphocyte,3.2237618,7.270474,7.8355093
8952,lymphocyte,3.9216843,6.3421583,8.623985
9472,lymphocyte,4.1503224,7.3600883,8.144207
9026,lymphocyte,3.9623392,6.9315147,8.199034
9646,lymphocyte,3.8430445,7.188344,8.191572
8923,lymphocyte,4.018012,6.96795,8.350393
9735,lymphocyte,3.6527681,6.717547,8.477952
9041,lymphocyte,4.083146,7.1882396,8.49751
8705,lymphocyte,4.3378143,6.873595,8.516498
8993,lymphocyte,3.3054366,7.4997983,8.488354
9647,lymphocyte,3.992668,7.1270638,8.355746
9182,lymphocyte,3.8507314,6.517446,8.45973
8976,lymphocyte,4.1933184,7.10565,8.29879
9203,lymphocyte,4.02825,7.239749,8.506076
8858,lymphocyte,3.7600937,6.517422,8.747977
8670,lymphocyte,2.4759216,6.52331,9.586259
9770,lymphocyte,3.7017112,6.714678,8.445648
9817,lymphocyte,3.3943374,7.374377,8.597699
9463,lymphocyte,2.6397161,7.239952,8.233737
8898,lymphocyte,3.602768,6.3098793,8.575902
9592,lymphocyte,4.330611,7.4312086,8.409544
8906,lymphocyte,3.3433156,6.5462213,8.563151
9267,lymphocyte,3.6415172,7.4767475,8.089901
9584,lymphocyte,2.697509,7.2478223,8.252067
9540,lymphocyte,3.566165,6.4420457,8.7146435
8885,lymphocyte,4.125511,7.4002647,8.047269
8725,lymphocyte,3.546845,7.3779955,8.025868
8672,lymphocyte,4.2209835,7.245792,8.0383415
9715,lymphocyte,3.9191027,7.247461,7.947603
9666,lymphocyte,4.013553,7.019342,8.2292795
9827,lymphocyte,0.5277717,5.891929,10.754487
9631,lymphocyte,4.0892587,7.599627,8.312294
8901,lymphocyte,3.1911557,6.1275883,8.439899
9027,lymphocyte,4.025833,7.4921236,8.120274
9119,lymphocyte,4.170815,7.2839885,8.446395
8811,lymphocyte,2.7051382,6.10891,8.370242
9232,lymphocyte,3.510235,6.82948,8.11252
9135,lymphocyte,4.3574934,7.5598354,8.181046
9437,lymphocyte,2.398354,7.03787,7.8061404
8782,lymphocyte,3.9272254,6.450274,8.655219
9698,lymphocyte,2.6784158,6.625951,8.305506
9195,lymphocyte,3.1040282,7.452431,8.035172
9270,lymphocyte,4.0396776,7.0791507,8.042984
9436,lymphocyte,2.177646,6.987794,8.352825
8790,lymphocyte,3.8594704,6.6832147,8.767569
9209,lymphocyte,4.0983753,7.7010875,8.194759
9537,lymphocyte,4.2802615,7.238214,8.066357
9502,lymphocyte,3.5633185,8.059422,8.065819
8957,lymphocyte,3.8196702,7.2404833,8.473738
8632,lymphocyte,3.203973,6.250199,8.665287
8849,lymphocyte,3.6487129,7.5539737,8.522935
9058,lymphocyte,3.703564,7.1226435,8.880513
8685,lymphocyte,3.0559676,6.4507446,8.551272
9711,lymphocyte,3.3307042,6.731675,8.417355
8962,lymphocyte,3.8502684,6.413807,8.57321
9193,lymphocyte,3.404103,6.892862,8.054369
9070,lymphocyte,3.714791,7.5711536,7.91878
9348,lymphocyte,2.7301571,6.532057,8.567482
9256,lymphocyte,3.6538284,7.041858,8.772503
9777,lymphocyte,3.8302636,6.7289824,8.648849
9560,lymphocyte,4.2415633,7.052564,8.416177
9108,lymphocyte,3.5971556,6.8716106,8.322453
9229,lymphocyte,3.7447364,6.5709114,8.612935
9071,lymphocyte,2.1934218,6.79136,8.258184
8750,lymphocyte,4.6061115,9.410725,6.9978905
9412,lymphocyte,3.624101,6.720396,8.340282
9392,lymphocyte,4.0074944,7.1370473,8.393014
9830,lymphocyte,4.1455564,7.3029847,8.2631
8639,lymphocyte,3.1025524,6.3489246,8.498947
9155,lymphocyte,2.8486254,7.7491493,8.226534
9014,lymphocyte,2.676217,6.7645564,8.519297
9217,lymphocyte,3.8779519,7.3567657,8.03106
9179,lymphocyte,3.377693,7.230598,8.122521
9660,lymphocyte,3.2945137,6.8123446,8.620238
9772,lymphocyte,3.0975258,6.202291,8.403718
9722,lymphocyte,2.5666218,6.7165165,8.205916
8909,lymphocyte,3.196584,7.647607,7.9470134
9689,lymphocyte,3.73878,6.730359,8.357093
9069,lymphocyte,3.9675467,6.9513664,8.486225
8774,lymphocyte,3.1306376,7.4079294,8.604147
9664,lymphocyte,3.457879,6.726589,8.303872
8817,lymphocyte,3.775095,7.296482,8.137368
9291,lymphocyte,3.5891507,6.470313,8.612224
9730,lymphocyte,4.0042577,6.892809,8.421286
9779,lymphocyte,3.941424,6.774267,8.319018
9115,lymphocyte,4.064538,7.0395584,8.259919
9668,lymphocyte,2.2379007,6.958453,8.318598
9290,lymphocyte,3.713923,6.668553,8.416052
10741,monocyte,0.3125987,5.329479,9.05101
10868,monocyte,0.14943895,5.2143087,10.645343
10607,monocyte,-0.21519856,5.489267,10.705451
10507,monocyte,-0.15560332,4.988974,10.405437
10329,monocyte,-0.18581322,5.497613,10.878158
11153,monocyte,-0.26405787,4.9866896,10.596365
10637,monocyte,2.231194,6.6276283,8.346752
10759,monocyte,0.22424763,5.139887,9.570456
10513,monocyte,0.57891643,6.1386657,10.373821
10319,monocyte,0.039549343,5.835504,10.813817
10012,monocyte,0.027251836,5.437244,9.462477
10470,monocyte,-0.32879266,5.111393,10.414474
10453,monocyte,0.24545467,6.279144,9.483378
11125,monocyte,2.6718225,6.436188,8.151895
11061,monocyte,-0.118669175,4.8671303,10.055335
10356,monocyte,0.46326396,4.9131126,9.616567
10615,monocyte,1.0033679,6.418927,8.706908
10243,monocyte,0.36010873,5.347777,9.757853
10742,monocyte,0.41187164,5.666978,9.622436
10768,monocyte,-0.17706896,5.690561,10.631874
10367,monocyte,1.4870274,5.7532234,8.717689
10087,monocyte,0.33821118,5.557089,9.219949
10163,monocyte,0.17088062,5.3534484,10.857586
10350,monocyte,0.1245428,4.998374,9.941046
10058,monocyte,1.4096022,6.678697,10.122282
10786,monocyte,0.6035018,5.7735376,8.665201
9856,monocyte,-0.19937305,5.8676105,9.634748
11143,monocyte,-0.30418733,5.1374125,10.038535
11138,monocyte,0.7166117,6.3689356,9.07454
10242,monocyte,-0.32279772,5.5875793,10.298925
10132,monocyte,-0.02129676,5.334933,9.281646
10102,monocyte,0.798824,5.5186763,8.665004
10559,monocyte,2.158717,5.8734264,8.909257
11263,monocyte,0.08786218,4.98761,9.85245
10628,monocyte,1.0737144,6.0915627,9.432549
11056,monocyte,0.9921576,5.7465253,10.168534
11185,monocyte,0.4168164,5.5898676,10.548468
10973,monocyte,0.23196043,5.6738253,9.90157
11006,monocyte,0.6132811,6.656082,9.963755
11109,monocyte,-0.35259756,5.4590917,10.488092
10123,monocyte,0.15335168,5.239585,9.503188
11257,monocyte,0.2956895,5.900296,10.390497
10495,monocyte,0.47707072,6.237174,9.98211
11083,monocyte,1.1137124,5.466038,8.402388
9947,monocyte,-0.29146573,5.284574,10.501472
10895,monocyte,0.5838591,5.9776125,9.860776
10267,monocyte,0.6757931,6.2807913,8.990872
10540,monocyte,0.51259553,5.7032814,10.095399
11175,monocyte,0.57275116,6.1719584,9.822214
10700,monocyte,0.114883624,5.3503075,10.667363
11123,monocyte,0.5321555,6.1309524,9.277787
10956,monocyte,0.61278707,6.3494864,10.057564
10524,monocyte,-0.018695328,5.4701014,10.22734
10302,monocyte,-0.10025947,5.799515,10.4406
11230,monocyte,1.0489105,5.772808,8.528721
11073,monocyte,-0.48247746,5.0654187,9.505903
10251,monocyte,0.7147336,5.75107,9.135096
10144,monocyte,0.46012732,5.3333054,9.451595
10966,monocyte,0.94298863,5.961185,10.408333
9908,monocyte,-0.23622097,5.8983326,10.454228
10425,monocyte,-0.14896455,5.2169943,10.896311
10982,monocyte,-0.13563675,5.2325788,9.874782
10365,monocyte,1.8705317,6.645625,8.364088
10054,monocyte,0.069248036,5.632217,9.827334
9863,monocyte,2.0880384,5.9446044,8.708331
10130,monocyte,-0.21837653,5.1895804,10.886825
10796,monocyte,0.18039837,4.9834814,10.438977
10327,monocyte,-0.35558167,5.341932,10.546448
